page	pdf_page	row_index	hanzi	wupin	base	tone	quality	flags	initial	final	inventory_issue
126	4	11	河头水脚	gho11deu55sy55cian52	cian	52	matched	candidate_headword_differs	c	ian	final_outside_compact_inventory
127	5	21	山脊	saen33ciq5	ciq	5	weak_match	non_matched_quality:weak_match;candidate_headword_differs	c	iq	final_outside_compact_inventory
129	7	7	河沿	gho11yen52	yen	52	weak_match	bracket_context_review;non_matched_quality:weak_match;candidate_headword_differs	y	en	final_outside_compact_inventory
129	7	15	城墙	dzeon11jian52	jian	52	matched	ok	j	ian	final_outside_compact_inventory
130	8	17	铁	thiq45	thiq	45	low_match	non_matched_quality:low_match;candidate_headword_differs	th	iq	final_outside_compact_inventory
130	8	18	生铁	san33thiq5	thiq	5	low_match	non_matched_quality:low_match;candidate_headword_differs	th	iq	final_outside_compact_inventory
130	8	19	熟铁	zoq1thiq5	thiq	5	weak_match	non_matched_quality:weak_match;candidate_headword_differs	th	iq	final_outside_compact_inventory
131	9	9	硫黄	lieu11waon52	lieu	11	weak_match	non_matched_quality:weak_match;candidate_headword_differs	l	ieu	final_outside_compact_inventory
131	9	12	吸铁石	shiq3thiq5zaq54	shiq	3	matched	ok	sh	iq	final_outside_compact_inventory
131	9	12	吸铁石	shiq3thiq5zaq54	thiq	5	matched	ok	th	iq	final_outside_compact_inventory
131	9	21	呛爿石	chian33baen33zaq3	chian	33	matched	candidate_headword_differs	ch	ian	final_outside_compact_inventory
132	10	3	锈	shieu33	shieu	33	weak_match	non_matched_quality:weak_match;candidate_headword_differs	sh	ieu	final_outside_compact_inventory
132	10	18	亮光	lian11kuaon11	lian	11	matched	ok	l	ian	final_outside_compact_inventory
132	10	20	亮头	lian11deu11	lian	11	weak_match	non_matched_quality:weak_match;candidate_headword_differs	l	ian	final_outside_compact_inventory
132	10	23	声响	seon33shian55	shian	55	matched	ok	sh	ian	final_outside_compact_inventory
132	10	26	热度	gniq1du55	gniq	1	weak_match	non_matched_quality:weak_match;candidate_headword_differs	gn	iq	final_outside_compact_inventory
133	11	1	原块头	gnioen11khue55deu52	gnioen	11	matched	candidate_headword_differs	gn	ioen	final_outside_compact_inventory
133	11	13	迹足	ciq3tsoq5	ciq	3	matched	ok	c	iq	final_outside_compact_inventory
133	11	14	丝绺	sy33lieu55	lieu	55	weak_match	non_matched_quality:weak_match;candidate_headword_differs	l	ieu	final_outside_compact_inventory
133	11	16	气息	chi33shiq3	shiq	3	matched	ok	sh	iq	final_outside_compact_inventory
133	11	18	奶花香	na115huo55shian52	shian	52	matched	ok	sh	ian	final_outside_compact_inventory
134	12	7	石牛头臭	zaq1gnieu55deu55tsheu55	gnieu	55	weak_match	non_matched_quality:weak_match;candidate_headword_differs	gn	ieu	final_outside_compact_inventory
134	12	8	乌焦毛头臭	u33ciau55mhau55deu55tsheu33	mhau	55	matched	candidate_headword_differs	m	hau	final_outside_compact_inventory
135	13	3	呆歇	nge115shiq54	shiq	54	matched	ok	sh	iq	final_outside_compact_inventory
135	13	19	旧年	jieu11gnien55	jieu	11	matched	bracket_context_review	j	ieu	final_outside_compact_inventory
135	13	24	一年到头	iq3gnien55ta55deu52	iq	3	matched	ok		iq	final_outside_compact_inventory
136	14	15	日	gniq23	gniq	23	low_match	non_matched_quality:low_match;candidate_headword_differs	gn	iq	final_outside_compact_inventory
136	14	16	日子	gniq1tsy55	gniq	1	low_match	non_matched_quality:low_match;candidate_headword_differs	gn	iq	final_outside_compact_inventory
136	14	17	日脚	gniq1ciaq5	gniq	1	low_match	non_matched_quality:low_match;candidate_headword_differs	gn	iq	final_outside_compact_inventory
136	14	23	后日	gheu11gniq5	gniq	5	weak_match	non_matched_quality:weak_match;candidate_headword_differs	gn	iq	final_outside_compact_inventory
136	14	24	大后日	do11gheu11gniq5	gniq	5	matched	ok	gn	iq	final_outside_compact_inventory
136	14	25	大大后日	do11do11gheu11gniq1	gniq	1	matched	candidate_headword_differs	gn	iq	final_outside_compact_inventory
137	15	7	隔两日	kaq3lian55gni52	lian	55	low_match	non_matched_quality:low_match;candidate_headword_differs	l	ian	final_outside_compact_inventory
137	15	8	过两天	ku33lian33thien33	lian	33	low_match	non_matched_quality:low_match;candidate_headword_differs	l	ian	final_outside_compact_inventory
137	15	9	歇	shiq45	shiq	45	matched	bracket_context_review	sh	iq	final_outside_compact_inventory
137	15	10	上两日	zan115lian55gni52	lian	55	low_match	bracket_context_review;non_matched_quality:low_match;candidate_headword_differs	l	ian	final_outside_compact_inventory
137	15	11	前两日	jien11lian55gni52	lian	55	matched	candidate_headword_differs	l	ian	final_outside_compact_inventory
137	15	16	天亮快	thien33lian55khua52	lian	55	matched	candidate_headword_differs	l	ian	final_outside_compact_inventory
137	15	17	天亮	thien33lian55	lian	55	weak_match	bracket_context_review;non_matched_quality:weak_match;candidate_headword_differs	l	ian	final_outside_compact_inventory
138	16	9	一个钟头	iq3ko55tson55deu52	iq	3	matched	candidate_headword_differs		iq	final_outside_compact_inventory
138	16	10	一刻钟	iq3kheq5tson52	iq	3	low_match	non_matched_quality:low_match;candidate_headword_differs		iq	final_outside_compact_inventory
138	16	14	一歇	iq3shiq5	iq	3	weak_match	bracket_context_review;non_matched_quality:weak_match;candidate_headword_differs		iq	final_outside_compact_inventory
138	16	14	一歇	iq3shiq5	shiq	5	weak_match	bracket_context_review;non_matched_quality:weak_match;candidate_headword_differs	sh	iq	final_outside_compact_inventory
138	16	15	一时三刻	iq3zy55saen55kheq54	iq	3	low_match	non_matched_quality:low_match;candidate_headword_differs		iq	final_outside_compact_inventory
138	16	16	一歇瞎辣	iq3shiq5haeq5laeq54	iq	3	low_match	non_matched_quality:low_match;candidate_headword_differs		iq	final_outside_compact_inventory
138	16	16	一歇瞎辣	iq3shiq5haeq5laeq54	shiq	5	low_match	non_matched_quality:low_match;candidate_headword_differs	sh	iq	final_outside_compact_inventory
138	16	18	一顷	iq3chian55	iq	3	low_match	non_matched_quality:low_match;candidate_headword_differs		iq	final_outside_compact_inventory
138	16	18	一顷	iq3chian55	chian	55	low_match	non_matched_quality:low_match;candidate_headword_differs	ch	ian	final_outside_compact_inventory
138	16	19	一生一世	iq3san55iq5sy52	iq	3	low_match	non_matched_quality:low_match;candidate_headword_differs		iq	final_outside_compact_inventory
138	16	19	一生一世	iq3san55iq5sy52	iq	5	low_match	non_matched_quality:low_match;candidate_headword_differs		iq	final_outside_compact_inventory
138	16	27	热天	gniq1thien52	gniq	1	low_match	non_matched_quality:low_match;candidate_headword_differs	gn	iq	final_outside_compact_inventory
139	17	8	元月	gnioen11gnioeq5	gnioen	11	weak_match	non_matched_quality:weak_match;candidate_headword_differs	gn	ioen	final_outside_compact_inventory
139	17	16	稼青黄不接	cia33chin33huaon33peq3ciq3	ciq	3	matched	candidate_headword_differs	c	iq	final_outside_compact_inventory
139	17	17	七月	chiq3gnioeq5	chiq	3	matched	ok	ch	iq	final_outside_compact_inventory
139	17	19	九月	cieu335gnioeq54	cieu	335	matched	ok	c	ieu	final_outside_compact_inventory
139	17	21	十一月	zeq1iq5gnioeq54	iq	5	low_match	non_matched_quality:low_match;candidate_headword_differs		iq	final_outside_compact_inventory
140	18	1	礼拜一	li115pa55iq54	iq	54	matched	candidate_headword_differs		iq	final_outside_compact_inventory
140	18	8	春节	tsheen33ciq5	ciq	5	matched	ok	c	iq	final_outside_compact_inventory
140	18	9	正月初一	tseon33gnioeq5tshu55iq54	iq	54	matched	ok		iq	final_outside_compact_inventory
140	18	10	元宵	gnioen11shiau52	gnioen	11	matched	ok	gn	ioen	final_outside_compact_inventory
140	18	12	清明节	chin33meen55ciq54	ciq	54	matched	candidate_headword_differs	c	iq	final_outside_compact_inventory
140	18	15	七月七	chiq3gnioeq5chiq54	chiq	3	matched	ok	ch	iq	final_outside_compact_inventory
140	18	15	七月七	chiq3gnioeq5chiq54	chiq	54	matched	ok	ch	iq	final_outside_compact_inventory
140	18	17	中秋	tson33chieu52	chieu	52	matched	ok	ch	ieu	final_outside_compact_inventory
140	18	18	中秋节	tson33chieu55ciq54	chieu	55	low_match	non_matched_quality:low_match;candidate_headword_differs	ch	ieu	final_outside_compact_inventory
140	18	18	中秋节	tson33chieu55ciq54	ciq	54	low_match	non_matched_quality:low_match;candidate_headword_differs	c	iq	final_outside_compact_inventory
140	18	20	重阳节	dzon11yan55ciq54	ciq	54	matched	ok	c	iq	final_outside_compact_inventory
140	18	24	节头节尾	ciq3deu55ciq5mi52	ciq	3	matched	ok	c	iq	final_outside_compact_inventory
140	18	24	节头节尾	ciq3deu55ciq5mi52	ciq	5	matched	ok	c	iq	final_outside_compact_inventory
140	18	25	三八节	saen33paeq5ciq54	ciq	54	matched	ok	c	iq	final_outside_compact_inventory
140	18	26	五一节	wu115iq5ciq54	iq	5	unmatched	empty_image;non_matched_quality:unmatched;candidate_headword_differs		iq	final_outside_compact_inventory
140	18	26	五一节	wu115iq5ciq54	ciq	54	unmatched	empty_image;non_matched_quality:unmatched;candidate_headword_differs	c	iq	final_outside_compact_inventory
141	19	3	大雪	da11shiq1	shiq	1	unmatched	empty_image;non_matched_quality:unmatched;candidate_headword_differs	sh	iq	final_outside_compact_inventory
141	19	4	小雪	shiau335shiq54	shiq	54	unmatched	empty_image;non_matched_quality:unmatched;candidate_headword_differs	sh	iq	final_outside_compact_inventory
141	19	5	立冬	liq1ton52	liq	1	weak_match	non_matched_quality:weak_match;candidate_headword_differs	l	iq	final_outside_compact_inventory
141	19	8	秋分	chieu33feen52	chieu	33	weak_match	non_matched_quality:weak_match;candidate_headword_differs	ch	ieu	final_outside_compact_inventory
141	19	11	立秋	liq1chieu52	liq	1	weak_match	non_matched_quality:weak_match;candidate_headword_differs	l	iq	final_outside_compact_inventory
141	19	11	立秋	liq1chieu52	chieu	52	weak_match	non_matched_quality:weak_match;candidate_headword_differs	ch	ieu	final_outside_compact_inventory
141	19	17	立夏	liq1gho55	liq	1	weak_match	non_matched_quality:weak_match;candidate_headword_differs	l	iq	final_outside_compact_inventory
141	19	23	立春	liq1tsheen52	liq	1	weak_match	non_matched_quality:weak_match;candidate_headword_differs	l	iq	final_outside_compact_inventory
141	19	24	国庆节	kuoq3chin55ciq54	ciq	54	low_match	non_matched_quality:low_match;candidate_headword_differs	c	iq	final_outside_compact_inventory
141	19	25	儿童节	gni11don55ciq54	ciq	54	low_match	non_matched_quality:low_match;candidate_headword_differs	c	iq	final_outside_compact_inventory
142	20	3	象	jian113	jian	113	matched	ok	j	ian	final_outside_compact_inventory
142	20	5	马熊	mha33yon52	mha	33	weak_match	non_matched_quality:weak_match;candidate_headword_differs	m	ha	final_outside_compact_inventory
142	20	13	獾猪	huoen33tsy33	huoen	33	weak_match	non_matched_quality:weak_match;candidate_headword_differs	h	uoen	final_outside_compact_inventory
143	21	18	八官	paeq3kuoen52	kuoen	52	matched	ok	k	uoen	final_outside_compact_inventory
143	21	23	鸳鸯	ioen33ian52	ioen	33	matched	candidate_headword_differs		ioen	final_outside_compact_inventory
143	21	23	鸳鸯	ioen33ian52	ian	52	matched	candidate_headword_differs		ian	final_outside_compact_inventory
143	21	28	鲫鱼	ciq3yu52	ciq	3	weak_match	non_matched_quality:weak_match;candidate_headword_differs	c	iq	final_outside_compact_inventory
143	21	29	白鲫	baq1ciq5	ciq	5	weak_match	non_matched_quality:weak_match;candidate_headword_differs	c	iq	final_outside_compact_inventory
144	22	12	鲇鱼	gniaen11yu52	gniaen	11	low_match	non_matched_quality:low_match;candidate_headword_differs	gn	iaen	final_outside_compact_inventory
144	22	21	泥鳅	gni11chieu52	chieu	52	weak_match	non_matched_quality:weak_match;candidate_headword_differs	ch	ieu	final_outside_compact_inventory
145	23	0	乌贼	u33zhiq5	zhiq	5	matched	bracket_context_review	zh	iq	final_outside_compact_inventory
145	23	4	鱼秧	yu11ian52	ian	52	matched	ok		ian	final_outside_compact_inventory
145	23	23	毛大蟹	mhau33da55ha52	mhau	33	matched	ok	m	hau	final_outside_compact_inventory
146	24	2	黄蚬	huaon33shioen55	shioen	55	low_match	non_matched_quality:low_match;candidate_headword_differs	sh	ioen	final_outside_compact_inventory
146	24	6	土铁	thu335thiq54	thiq	54	weak_match	non_matched_quality:weak_match;candidate_headword_differs	th	iq	final_outside_compact_inventory
146	24	18	对蚕的爱称	te33zeen33tiq3e33tsheon33	tiq	3	matched	candidate_headword_differs	t	iq	final_outside_compact_inventory
146	24	20	蚕姑娘	zeen11ku55gnian52	gnian	52	matched	ok	gn	ian	final_outside_compact_inventory
146	24	24	蜜蜂	miq1fon52	miq	1	matched	ok	m	iq	final_outside_compact_inventory
146	24	30	灶壁鸡	tsa33piq3ci33	piq	3	matched	ok	p	iq	final_outside_compact_inventory
146	24	31	绩婆婆	ciq3bo55bo52	ciq	3	unmatched	empty_image;non_matched_quality:unmatched;candidate_headword_differs	c	iq	final_outside_compact_inventory
147	25	0	油唧蛉	yeu11ciq5lin52	ciq	5	low_match	non_matched_quality:low_match;candidate_headword_differs	c	iq	final_outside_compact_inventory
147	25	6	蜒螺	yen11lo52	yen	11	low_match	non_matched_quality:low_match;candidate_headword_differs	y	en	final_outside_compact_inventory
147	25	7	带壳蜒螺	ta33khoq3yen33lo33	yen	33	low_match	non_matched_quality:low_match;candidate_headword_differs	y	en	final_outside_compact_inventory
147	25	9	知了	tsy33iiau55	iiau	55	weak_match	bracket_context_review;non_matched_quality:weak_match;candidate_headword_differs		iiau	final_outside_compact_inventory
147	25	17	毛蝴蝶	mhau33wu55diaq54	mhau	33	matched	ok	m	hau	final_outside_compact_inventory
147	25	18	杨痢毛	lian11li55mhau52	lian	11	matched	bracket_context_review	l	ian	final_outside_compact_inventory
147	25	18	杨痢毛	lian11li55mhau52	mhau	52	matched	bracket_context_review	m	hau	final_outside_compact_inventory
147	25	27	蜿蚁	uoen335mi52	uoen	335	weak_match	non_matched_quality:weak_match;candidate_headword_differs		uoen	final_outside_compact_inventory
147	25	28	结蛛	ciq3ciu52	ciq	3	matched	ok	c	iq	final_outside_compact_inventory
148	26	1	结蛛罗绷	ciq3ciu55lo55pan52	ciq	3	matched	ok	c	iq	final_outside_compact_inventory
148	26	2	雪子	shiq3tsy55	shiq	3	low_match	non_matched_quality:low_match;candidate_headword_differs	sh	iq	final_outside_compact_inventory
148	26	4	壁老虎	piq3lau55hu52	piq	3	matched	candidate_headword_differs	p	iq	final_outside_compact_inventory
148	26	9	卧切	ngo11chiq1	chiq	1	unmatched	empty_image;non_matched_quality:unmatched;candidate_headword_differs	ch	iq	final_outside_compact_inventory
148	26	14	牛豸	gnieu11dzy55	gnieu	11	weak_match	non_matched_quality:weak_match;candidate_headword_differs	gn	ieu	final_outside_compact_inventory
148	26	15	牛虻	gnieu11man52	gnieu	11	low_match	non_matched_quality:low_match;candidate_headword_differs	gn	ieu	final_outside_compact_inventory
148	26	29	竹叶青	tsoq3yiq5chin52	yiq	5	matched	candidate_headword_differs	y	iq	final_outside_compact_inventory
149	27	0	训读字	shioen33doeq3zy33	shioen	33	matched	ok	sh	ioen	final_outside_compact_inventory
149	27	5	蜥蜴	shiq45	shiq	45	unmatched	empty_image;non_matched_quality:unmatched;candidate_headword_differs	sh	iq	final_outside_compact_inventory
149	27	6	蝎子	shiq3tsy55	shiq	3	weak_match	non_matched_quality:weak_match;candidate_headword_differs	sh	iq	final_outside_compact_inventory
149	27	8	蚊螋	meen11shieu55	shieu	55	low_match	non_matched_quality:low_match;candidate_headword_differs	sh	ieu	final_outside_compact_inventory
149	27	11	牛	gnieu231	gnieu	231	matched	bracket_context_review	gn	ieu	final_outside_compact_inventory
149	27	12	黄牛	huaon33gnieu52	gnieu	52	matched	ok	gn	ieu	final_outside_compact_inventory
149	27	13	雄牛	yon11gnieu52	gnieu	52	matched	ok	gn	ieu	final_outside_compact_inventory
149	27	14	水牯牛	sy335ku55gnieu52	gnieu	52	matched	candidate_headword_differs	gn	ieu	final_outside_compact_inventory
149	27	15	牯牛	ku335gnieu52	gnieu	52	weak_match	non_matched_quality:weak_match;candidate_headword_differs	gn	ieu	final_outside_compact_inventory
149	27	16	特牛	deq1gnieu52	gnieu	52	matched	ok	gn	ieu	final_outside_compact_inventory
149	27	17	特牛	deq1gnieu52	gnieu	52	weak_match	non_matched_quality:weak_match;candidate_headword_differs	gn	ieu	final_outside_compact_inventory
149	27	18	马	mha52	mha	52	matched	ok	m	ha	final_outside_compact_inventory
149	27	19	雄马	yon11mha52	mha	52	matched	ok	m	ha	final_outside_compact_inventory
149	27	20	雌马	tshy33mha52	mha	52	matched	ok	m	ha	final_outside_compact_inventory
149	27	21	小马	shiau335mha52	mha	52	matched	ok	m	ha	final_outside_compact_inventory
150	28	3	猪娘	tsy33gnian52	gnian	52	matched	ok	gn	ian	final_outside_compact_inventory
151	29	2	鸡娘	ci33gnian52	gnian	52	matched	ok	gn	ian	final_outside_compact_inventory
151	29	4	赖孵鸡娘	la11bu11ci11gnian11	gnian	11	matched	ok	gn	ian	final_outside_compact_inventory
151	29	5	训读字	shioen33doeq3zy33	shioen	33	matched	candidate_headword_differs	sh	ioen	final_outside_compact_inventory
151	29	14	鸭娘	aeq3gnian52	gnian	52	matched	ok	gn	ian	final_outside_compact_inventory
151	29	23	鹅娘	ngo11gnian52	gnian	52	matched	ok	gn	ian	final_outside_compact_inventory
151	29	24	黄毛小鹅	huaon33mhau55shiau55ngo52	mhau	55	matched	ok	m	hau	final_outside_compact_inventory
152	30	4	翼膀	yiq1paon55	yiq	1	low_match	non_matched_quality:low_match;candidate_headword_differs	y	iq	final_outside_compact_inventory
152	30	5	翼梢	yiq1sau52	yiq	1	low_match	non_matched_quality:low_match;candidate_headword_differs	y	iq	final_outside_compact_inventory
152	30	6	毛毛	mhau33mhau52	mhau	33	weak_match	non_matched_quality:weak_match;candidate_headword_differs	m	hau	final_outside_compact_inventory
152	30	6	毛毛	mhau33mhau52	mhau	52	weak_match	non_matched_quality:weak_match;candidate_headword_differs	m	hau	final_outside_compact_inventory
152	30	7	毛	mhau52	mhau	52	low_match	non_matched_quality:low_match;candidate_headword_differs	m	hau	final_outside_compact_inventory
152	30	8	雉鸡毛	dzy115ci55mhau52	mhau	52	matched	ok	m	hau	final_outside_compact_inventory
152	30	12	冠	kuoen52	kuoen	52	matched	ok	k	uoen	final_outside_compact_inventory
152	30	24	桑叶	saon33yiq5	yiq	5	low_match	non_matched_quality:low_match;candidate_headword_differs	y	iq	final_outside_compact_inventory
153	31	0	香椿树	shian33tsheen55zhiu52	shian	33	matched	ok	sh	ian	final_outside_compact_inventory
153	31	1	杨柳树	lian11lieu55zhiu52	lian	11	matched	candidate_headword_differs	l	ian	final_outside_compact_inventory
153	31	1	杨柳树	lian11lieu55zhiu52	lieu	55	matched	candidate_headword_differs	l	ieu	final_outside_compact_inventory
153	31	2	倒挂杨柳树	tau335kuo55lian55lieu55zhiu52	lian	55	low_match	non_matched_quality:low_match;candidate_headword_differs	l	ian	final_outside_compact_inventory
153	31	2	倒挂杨柳树	tau335kuo55lian55lieu55zhiu52	lieu	55	low_match	non_matched_quality:low_match;candidate_headword_differs	l	ieu	final_outside_compact_inventory
153	31	6	枫叶	fon33yiq5	yiq	5	matched	ok	y	iq	final_outside_compact_inventory
153	31	14	麻栎树	mo11liq5zhiu52	liq	5	matched	candidate_headword_differs	l	iq	final_outside_compact_inventory
153	31	19	树叶	zhiu11yiq1	yiq	1	matched	ok	y	iq	final_outside_compact_inventory
153	31	21	树丫权	zhiu11ia11jioen11	jioen	11	matched	ok	j	ioen	final_outside_compact_inventory
153	31	22	丫权	ia33jioen52	jioen	52	matched	candidate_headword_differs	j	ioen	final_outside_compact_inventory
154	32	2	毛竹	mhau33tsoq5	mhau	33	matched	ok	m	hau	final_outside_compact_inventory
154	32	8	蔑	miq23	miq	23	low_match	non_matched_quality:low_match;candidate_headword_differs	m	iq	final_outside_compact_inventory
154	32	10	毛笋	mhau33seen55	mhau	33	matched	ok	m	hau	final_outside_compact_inventory
154	32	14	马鞭笋	mha33pien55seen52	mha	33	matched	ok	m	ha	final_outside_compact_inventory
154	32	27	丁香花	tin33shian55huo52	shian	55	unmatched	empty_image;non_matched_quality:unmatched;candidate_headword_differs	sh	ian	final_outside_compact_inventory
155	33	9	蔷薇花	jian11bi55huo52	jian	11	low_match	non_matched_quality:low_match;candidate_headword_differs	j	ian	final_outside_compact_inventory
155	33	15	石榴花	zaq1lieu55huo52	lieu	55	matched	ok	l	ieu	final_outside_compact_inventory
155	33	20	鸡冠花	ci33kuoen55huo52	kuoen	55	matched	ok	k	uoen	final_outside_compact_inventory
155	33	27	映山红	ian335saen55won52	ian	335	matched	ok		ian	final_outside_compact_inventory
155	33	29	向日葵	shian33gni33kue33	shian	33	matched	ok	sh	ian	final_outside_compact_inventory
156	34	2	拉拉藤	iha33iha55deon52	iha	33	matched	candidate_headword_differs		iha	final_outside_compact_inventory
156	34	2	拉拉藤	iha33iha55deon52	iha	55	matched	candidate_headword_differs		iha	final_outside_compact_inventory
156	34	7	木贼草	moq1zhiq5tshau52	zhiq	5	matched	candidate_headword_differs	zh	iq	final_outside_compact_inventory
156	34	11	酸妹妹	soen33mhe55mhe52	mhe	55	matched	ok	m	he	final_outside_compact_inventory
156	34	11	酸妹妹	soen33mhe55mhe52	mhe	52	matched	ok	m	he	final_outside_compact_inventory
156	34	12	臭婆娘	tsheu33bo33gnian33	gnian	33	matched	candidate_headword_differs	gn	ian	final_outside_compact_inventory
156	34	14	官司草	kuoen33sy55tshau52	kuoen	33	matched	bracket_context_review;candidate_headword_differs	k	uoen	final_outside_compact_inventory
156	34	20	槿杞柳	cin335chi55lieu52	lieu	52	matched	candidate_headword_differs	l	ieu	final_outside_compact_inventory
156	34	21	白毛夏枯草	baq1mhau55gho55khu55tshau52	mhau	55	weak_match	non_matched_quality:weak_match;candidate_headword_differs	m	hau	final_outside_compact_inventory
156	34	26	荷叶	wu11yiq5	yiq	5	weak_match	non_matched_quality:weak_match;candidate_headword_differs	y	iq	final_outside_compact_inventory
157	35	14	秧	ian52	ian	52	matched	ok		ian	final_outside_compact_inventory
157	35	16	叶瓣	yiq1phaen55	yiq	1	matched	ok	y	iq	final_outside_compact_inventory
157	35	17	叶片	yiq1phien55	yiq	1	matched	ok	y	iq	final_outside_compact_inventory
157	35	25	粮食作物	lian11zeoq5tseq5veq54	lian	11	unmatched	empty_image;non_matched_quality:unmatched;candidate_headword_differs	l	ian	final_outside_compact_inventory
158	36	1	杂粮	dzeoq1lian52	lian	52	matched	ok	l	ian	final_outside_compact_inventory
158	36	9	秧苗	ian33miau52	ian	33	matched	ok		ian	final_outside_compact_inventory
158	36	28	毛豆	mhau33deu55	mhau	33	matched	ok	m	hau	final_outside_compact_inventory
159	37	5	芋节	gniu11ciq1	ciq	1	low_match	non_matched_quality:low_match;candidate_headword_differs	c	iq	final_outside_compact_inventory
159	37	16	烟叶	ien33yiq5	yiq	5	matched	candidate_headword_differs	y	iq	final_outside_compact_inventory
159	37	24	谷子的籽实	kuoq3tsy55tiq5tsy55zeq54	tiq	5	matched	candidate_headword_differs	t	iq	final_outside_compact_inventory
159	37	25	高梁	kau33lian52	lian	52	weak_match	non_matched_quality:weak_match;candidate_headword_differs	l	ian	final_outside_compact_inventory
160	38	9	穰糠	gniaen11khaon52	gniaen	11	low_match	non_matched_quality:low_match;candidate_headword_differs	gn	iaen	final_outside_compact_inventory
160	38	11	闷糠	mheen33khaon52	mheen	33	weak_match	non_matched_quality:weak_match;candidate_headword_differs	m	heen	final_outside_compact_inventory
160	38	24	鸡毛菜	ci33mhau55tshe52	mhau	55	matched	ok	m	hau	final_outside_compact_inventory
160	38	27	卷心菜	cioen335shin55tshe52	cioen	335	matched	candidate_headword_differs	c	ioen	final_outside_compact_inventory
161	39	6	雪里	shiq3li55	shiq	3	low_match	non_matched_quality:low_match;candidate_headword_differs	sh	iq	final_outside_compact_inventory
161	39	7	雪里菜	shiq3li55tshe52	shiq	3	matched	candidate_headword_differs	sh	iq	final_outside_compact_inventory
161	39	11	马兰头	mha33laen55deu52	mha	33	matched	ok	m	ha	final_outside_compact_inventory
161	39	12	一种野菜	iq3tson55ya55tshe52	iq	3	matched	candidate_headword_differs		iq	final_outside_compact_inventory
161	39	13	韭菜	cieu335tshe52	cieu	335	weak_match	non_matched_quality:weak_match;candidate_headword_differs	c	ieu	final_outside_compact_inventory
161	39	14	韭芽	cieu335ngo52	cieu	335	matched	ok	c	ieu	final_outside_compact_inventory
161	39	15	黄芽韭菜	huaon33ngo55cieu55tshe52	cieu	55	matched	candidate_headword_differs	c	ieu	final_outside_compact_inventory
161	39	21	生姜	san33cian52	cian	52	matched	ok	c	ian	final_outside_compact_inventory
161	39	24	芥拉头	ka33iha33deu33	iha	33	matched	candidate_headword_differs		iha	final_outside_compact_inventory
161	39	26	香椿脑头	shian33tsheen55nau55deu52	shian	33	matched	ok	sh	ian	final_outside_compact_inventory
162	40	17	水蜜桃	sy335miq5dau52	miq	5	matched	candidate_headword_differs	m	iq	final_outside_compact_inventory
